name,img,description,github,link,tech,time,customer,PHP,MySQL,Javascript
Semoconductor Nanotechnology Alliance,img/techmonkeyhk/sna/SNA_1.png,data/description/sna.html,,,PHP MySQL Javascript,,Techmonkeyhk,1,1,1
Stellar Education,img/techmonkeyhk/steduhk/steduhk_1.png,data/description/steduhk.html,,,PHP MySQL Javascript,,Techmonkeyhk,1,1,1
